trial,cv_mae,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,n_jobs,random_state,verbosity
0,9.967870172998925,437,8,0.07441632389160634,0.7993292420985183,0.4936111842654619,4,0.00019517224641449495,2.1423021757741068,1.2022300234864176,-1,42,0
1,9.902802680006973,737,2,0.17898794163735265,0.9162213204002109,0.5274034664069657,4,0.0008260808399079611,0.0033205591037519565,1.0495128632644757,-1,42,0
2,9.720526161537515,489,4,0.04777437867054351,0.569746930326021,0.5752867891211308,8,0.019069966103000432,0.8431013932082461,0.39934756431671947,-1,42,0
3,9.84174545563019,563,6,0.005934530307791968,0.8037724259507192,0.502314474212375,2,5.5517216852447255,6.732248920775331,1.6167946962329223,-1,42,0
4,9.568487740112854,374,2,0.062395369491878315,0.7200762468698007,0.47322294090686734,10,0.00014857392806279257,3.5204810455260365,0.5175599632000338,-1,42,0
5,9.9141862454801,696,4,0.03405259191324469,0.7733551396716398,0.5109126733153162,20,0.7510418138777541,4.9830438374949075,1.7896547008552977,-1,42,0
6,9.616642004202077,638,8,0.006930112765148064,0.5979914312095727,0.4271363733463229,7,0.00877781550471966,0.002273762810253686,1.6574750183038587,-1,42,0
7,9.698688360953117,421,3,0.037017039861413845,0.5704621124873813,0.8813181884524238,2,8.598737339212267,0.7264803074826727,0.3974313630683448,-1,42,0
8,10.276661514419693,104,7,0.0678262606477337,0.8645035840204937,0.8627622080115674,2,0.006199100007802264,0.00037961668958008145,1.726206851751187,-1,42,0
9,9.604351806503157,661,4,0.006321123775566325,0.6554911608578311,0.5951099932160482,15,0.1540945776288154,2.7293781650374753,0.9444298503238986,-1,42,0
10,9.634097927540273,957,6,0.015556596598184447,0.9661451709558936,0.739367854408842,13,0.0001196668883226712,0.09917953233484306,0.10735352980587537,-1,42,0
11,9.73165839489086,220,2,0.01505043261813369,0.6833929851135796,0.6606137630538468,15,0.16924268170618673,0.10862289420171278,0.8810619363598968,-1,42,0
12,9.971701421857954,895,4,0.1673158871106985,0.6728468726241333,0.6503034572570129,13,0.11536121381075568,0.15076069526872785,0.6768651640406571,-1,42,0
13,9.650180922362182,304,3,0.017758096953395947,0.6931859171012763,0.40581495000950096,17,0.0016135211589236348,9.58800599326482,1.3198898312384104,-1,42,0
14,9.620336758037945,811,5,0.009903010073172201,0.5031139787420448,0.9818839421855641,10,0.06222901334703236,0.32311141679323024,0.6417003572396341,-1,42,0
15,9.932810657879255,324,3,0.09376473908632862,0.727620561340242,0.6361180914066278,11,0.9683830380683859,1.5556246271648941,0.11640218730157104,-1,42,0
16,9.669928604675842,562,2,0.02725153525902101,0.6307880556622186,0.7375077142152049,18,0.0012313821473645787,0.008787108196266014,0.826519917246025,-1,42,0
17,10.045687796652853,113,5,0.11840050409552175,0.7515033548403112,0.5853108946645506,15,1.1748124164727554,0.041096237221927505,0.4424600936659849,-1,42,0
18,9.58217114917652,822,5,0.009831871212084644,0.8578396281911189,0.721558978615896,9,0.0003828712745457145,2.059475859703223,1.245834451119199,-1,42,0
19,9.520052238808024,993,7,0.021945322707167134,0.8415935993013851,0.7582074332198885,7,0.0003472842689789159,0.4106443930504403,1.4792698772662844,-1,42,0
20,9.717401424236126,960,6,0.059125299891561796,0.8538675271365672,0.8432863858430386,6,0.0034300409137065038,0.03361211151795941,1.9876855700994174,-1,42,0
21,9.65482613778329,853,7,0.01001803974717513,0.8681465439943041,0.7477908590253037,9,0.0004170491908964832,0.46400065178827926,1.361808977599637,-1,42,0
22,9.81553668116664,988,7,0.021345655478101664,0.9947306277660574,0.8027254178568979,11,0.00030319671694785996,1.6347965678158036,1.4009960413472031,-1,42,0
23,9.738563634511587,776,5,0.011197281234007612,0.9121067191719058,0.928015740833613,5,0.00010338602477773972,0.4832541010957031,1.5021765019648254,-1,42,0
24,9.636890387595235,845,8,0.024464460567380237,0.8210680468837009,0.6926128203924458,8,0.0004852870164369896,4.0405907709807405,1.173599146085091,-1,42,0
25,9.575091072013786,892,6,0.03560349671701262,0.907026286839323,0.8036121952299669,11,0.002763849695037118,0.00012733977653242172,1.9463306188031755,-1,42,0
26,9.672002967078406,920,7,0.03793806520328634,0.9167506419393089,0.799104777655568,12,0.002409688477653565,0.00013385758222832597,1.876093655187994,-1,42,0
27,9.734169144089158,578,6,0.048065405831793605,0.7377014635918944,0.9388098140637339,7,0.017257946765149412,0.0005431803534769929,1.5135568580624739,-1,42,0
28,9.704666370288745,217,7,0.03057181170234319,0.9437216189094652,0.8084457735454659,10,0.0008471811306478276,0.010028568173362723,1.8885115797572454,-1,42,0
29,9.89577623576946,427,8,0.0922383016789397,0.81807896303454,0.4537656664548093,5,0.00016755683778937137,0.00011265285296945472,1.9974364599381107,-1,42,0
30,9.716504900202022,900,8,0.04868082719106906,0.7816719923932842,0.912253840683992,13,0.0002274428336489546,0.0014308264558440008,1.1370749910249276,-1,42,0
31,9.642289711823334,995,5,0.008059520781346238,0.8793669297806493,0.7028063719735607,9,0.0005019840835733335,1.822809479683475,1.2381302399309388,-1,42,0
32,9.579538355371975,781,6,0.012805566455366662,0.84087756039191,0.7836156638461211,9,0.0008738357639003911,0.2700725209424275,0.0054174392687669215,-1,42,0
33,9.575668272344915,724,6,0.013326197357542311,0.8953298106371209,0.773583898482501,7,0.0030761910083945006,0.03261081497326366,0.0038325177593626636,-1,42,0
34,9.786814877759229,742,7,0.022518643979123322,0.8961296271186131,0.8375096758849404,5,0.003317626216745298,0.00841568680639401,0.23018339589417328,-1,42,0
35,9.673802345825745,505,6,0.01758622181854177,0.931507762058805,0.7626023190228081,7,0.007999422889075746,0.046025116509235436,0.537142732537631,-1,42,0
36,9.834072005538252,719,6,0.04085870173117612,0.9682945569342729,0.47165050500203803,4,0.018823353140352488,0.02030645241114593,0.2978057872187223,-1,42,0
37,9.60169720012218,888,7,0.05834982670627758,0.7151864400699318,0.5509555643175844,8,0.004721885680629898,0.003937891572719394,1.0357664574706076,-1,42,0
38,9.381949445088704,354,2,0.03064622371404262,0.888304756354726,0.990660675984486,11,0.001286806626602432,0.00032966355940880975,0.7609269779045125,-1,42,0
39,9.383682294141064,374,2,0.030068608868472905,0.7827080297729718,0.8956786651800686,11,0.0010596529857692537,0.0003684711993739956,1.6006828112988447,-1,42,0
40,9.475402161331864,367,2,0.029880027976358223,0.7796488938802069,0.9971491623755793,14,0.0014401393677341704,0.0006188513805455106,0.7585885284577037,-1,42,0
41,9.447438629906456,376,2,0.02861856914172854,0.7773159881351001,0.9962382253521296,14,0.0014250826351740137,0.0005201746815990518,0.7411130054097965,-1,42,0
42,9.505937434634648,380,2,0.031191328031833637,0.7899237746002674,0.9982962155945154,14,0.0014827302155025316,0.00041532576692136314,0.7366782651557783,-1,42,0
43,9.507412964760722,377,2,0.03208235325807972,0.772215175128722,0.9905992465841276,14,0.001495225035469829,0.0004769005538061304,0.756075840187135,-1,42,0
44,9.67560573708474,491,3,0.027720873624938577,0.7890814401636401,0.9658229300222881,17,0.0016715084628926556,0.0010762391481143223,0.974434217673508,-1,42,0
45,9.499310039142232,301,2,0.018483474895690712,0.760025553543,0.9566258974375114,16,0.0007736496467334609,0.00023945181802539984,0.6110269997315844,-1,42,0
46,9.517898842339042,274,2,0.01906690374494512,0.7547169202311895,0.8970490503716334,16,0.0006991979065217037,0.00023305945534532582,0.5455786309751415,-1,42,0
47,9.8098247777578,335,3,0.04288037226543365,0.7116422482442222,0.9578117419787124,19,0.013366206383496327,0.0007546238574906885,0.6044925757465098,-1,42,0
48,9.411546808259981,254,2,0.02553557252079956,0.8206981031085534,0.9493659290031656,12,0.04793019721355515,0.0001982630417431262,0.8748597087533637,-1,42,0
49,9.50192842858117,192,2,0.02472030980145211,0.8146150841329515,0.8718944697880514,12,0.03426354909458589,0.0022554372761550883,0.7822029631888694,-1,42,0
50,9.544330493617702,450,3,0.02823822366575225,0.8009964237717621,0.9263467709242734,12,0.4367894255536687,0.00026211163833816936,0.8942021211631488,-1,42,0
51,9.592298166635873,268,2,0.016209214777649444,0.7637285404876233,0.9606535157695504,14,2.369373656331238,0.0002798485161144432,0.675421493501869,-1,42,0
52,9.507695287618551,340,2,0.01957634983043949,0.832111507617967,0.89640960162084,16,0.00627261222516501,0.00018014424753328627,0.4378001746719942,-1,42,0
53,9.491443616162549,260,3,0.02398358830662471,0.7389273794458417,0.9465119610806771,16,0.037929366505007514,0.00074643255929254,0.8589582469416334,-1,42,0
54,9.556738724992082,161,3,0.025687126678483965,0.7008933239689861,0.9761437646752794,13,0.08662224296750028,0.0007576671344679251,1.0586372917799252,-1,42,0
55,9.55979264893403,255,3,0.03343887248855535,0.637923518618167,0.9390029750856739,15,0.03122797434389851,0.0017808285661680314,0.8378135706681814,-1,42,0
56,9.407533932591344,387,2,0.043263152828147224,0.7479753994788327,0.901242166710932,11,0.21104023739345842,0.003612773148911755,0.9586421377150268,-1,42,0
57,9.591618630486566,396,2,0.05342465839884786,0.7932770199604795,0.8529793439398842,11,0.2722228043154105,0.004572272324604932,0.9291838979520405,-1,42,0
58,9.480549543363555,451,2,0.03982654562346025,0.737914811918302,0.910322018545614,12,0.25274612901883947,0.0010516634339302452,1.0061015747757198,-1,42,0
59,9.805756162145116,527,2,0.06755288198232379,0.6815290946711942,0.9836000554421568,1,2.9193534289109953,0.0027069823980340607,1.1037430228786969,-1,42,0
60,9.672636276038919,362,2,0.08270519023052528,0.8796307368158066,0.9998441874335474,11,0.4304150573958906,0.0003877845193967768,0.7200739431850648,-1,42,0
61,9.549047981262206,445,2,0.04277020689181423,0.7504756268829804,0.9097502129489149,12,0.16751201802742208,0.0016353838995446356,0.9909587930152521,-1,42,0
62,9.382600275675456,407,2,0.038214185126027415,0.7316196085742886,0.8864864548011733,10,0.25152794533876155,0.0010073003834806377,1.6239417315917293,-1,42,0
63,9.516435104095184,406,3,0.03593420019587648,0.8056009869583083,0.8756337179387373,10,0.06518013112252057,0.0005653423330367815,1.695183078769015,-1,42,0
64,9.548362972637554,315,2,0.047254971683343555,0.7737906328627794,0.8331135667713114,13,0.8330530225071763,0.0011184090844999614,1.6159370002614482,-1,42,0
65,9.387387679228912,353,2,0.02145344651678913,0.6574734774984063,0.9302289434881221,10,0.48763372731314325,0.00017147606200945548,0.802344502203969,-1,42,0
66,9.465718831174009,287,3,0.020360368017231102,0.5866585800919245,0.8840654729260973,10,1.5318541183493388,0.000163288526307046,1.7940811311738498,-1,42,0
67,9.37810205291198,235,2,0.03494403469140019,0.6759434517809515,0.9262668273428528,9,0.3268686033699736,0.00624404078860946,1.5753175468032468,-1,42,0
68,9.40325742367581,213,2,0.05215338125014903,0.6471770437873128,0.9253756488853094,9,0.4793461115348367,0.007084645544963013,1.6130048760728315,-1,42,0
69,9.337750892501692,135,2,0.05468478947262452,0.653027487920839,0.9252780980799021,9,0.5161494837417714,0.0059540606499572735,1.6112767440833715,-1,42,0
70,9.515910606178076,120,3,0.049359475695724984,0.6622029507264857,0.9288538465395594,9,0.36084205765446536,0.00581588294593021,1.6221150443791794,-1,42,0
71,9.444203593554798,221,2,0.06170642110982946,0.6239120111345767,0.860325732649396,8,0.5798904783489288,0.01150792971664833,1.5686677389166324,-1,42,0
72,9.446324406048198,174,2,0.054361414451679364,0.6116936011861721,0.8890853537271616,10,0.12572416918359608,0.01637626131641554,1.739643846160984,-1,42,0
73,9.520372970237387,221,2,0.07303572138839858,0.6488025896255292,0.916684498605624,9,0.6306956358043214,0.0060863244417134815,1.4682722895682012,-1,42,0
74,9.568606786092122,469,2,0.03592838235482193,0.5551916412409319,0.8987535265774419,11,1.422102275975272,0.0032846457870467833,1.3387806326597818,-1,42,0
75,9.48198026550568,140,2,0.04392219299083937,0.6664556102257825,0.9738058190574869,9,0.26196675188009405,0.015526758343250032,1.4309614006986269,-1,42,0
76,9.628414251722731,356,3,0.054638563471007554,0.6934716593792127,0.925258257370007,10,3.855436902919066,0.007195540744939969,1.5650995723004084,-1,42,0
77,9.390147844331759,191,2,0.03775320864812678,0.6054545096889228,0.8178361879946628,8,0.21442692478166153,0.00429471455311948,1.73928967295638,-1,42,0
78,9.431469206526472,194,2,0.03768835225408323,0.5457386785588346,0.817687964183184,6,8.415630034624042,0.005120266414389923,1.7937514611893486,-1,42,0
79,9.557801194749436,145,3,0.03232873187953118,0.5994242711194208,0.8212311556651078,8,1.0953483229591072,0.0003300303689947712,1.684935173061218,-1,42,0
80,9.602890166411528,230,2,0.08154608587465272,0.6525819366530999,0.8542670644402015,8,0.5679534036232945,0.002291207970607805,1.5510829249301676,-1,42,0
81,9.613635989421123,413,2,0.046724118239212374,0.6786532180748817,0.8675629655449832,11,0.23057103661311198,0.003516643259999469,1.8553020839010452,-1,42,0
82,9.413122349438366,103,2,0.06826977458684583,0.6262747113890407,0.9023891558775429,9,0.20202848239991697,0.011042378767193405,1.755693692254344,-1,42,0
83,9.411567973575076,192,2,0.04015966443782254,0.6401267693365155,0.939933468324795,10,0.11655805415279455,0.00010649852832985616,1.627955904564481,-1,42,0
84,9.415025657585076,309,2,0.033842075298351516,0.7079049823384242,0.8803309546732766,7,0.4117661502145368,0.024347461347812197,1.256607324553692,-1,42,0
85,9.401106021915467,239,2,0.03010180059694564,0.7283165170775306,0.8424865645960706,10,0.3333920168648012,0.006968119506004506,1.4001521414651237,-1,42,0
86,9.774951783016997,238,2,0.12624190390905116,0.613406096595292,0.8332312788146313,9,0.3214260910737491,0.07720124925523388,1.839101550944475,-1,42,0
87,9.360011409312754,283,2,0.022943086023626897,0.5812329846862635,0.8485922352313608,6,1.8558180668177715,0.007041317221775731,1.3993104978572626,-1,42,0
88,9.451922775955886,294,3,0.022472457027297464,0.5782254114324605,0.7833525498215759,8,0.8557927732112035,0.014453918723233698,1.4046942631966608,-1,42,0
89,9.414592800793347,337,2,0.029488322088486986,0.5261545207395956,0.8462242347926016,6,1.7178536509657176,0.00015154563382644668,1.5179380818686585,-1,42,0
90,9.421844381521414,281,2,0.026593501832248668,0.600451174994911,0.8211973569872217,10,0.08430316181387741,0.001261879149044935,1.9279035750693903,-1,42,0
91,9.52897657734639,202,2,0.0228222441127183,0.7292730657610101,0.9219258059611042,3,0.6427026108495149,0.007127410947478151,1.3032981922604174,-1,42,0
92,9.443379378310194,168,2,0.030697435923746044,0.6697374591152347,0.869584793988817,10,0.4892256877865187,0.012736715399679577,1.664848926589592,-1,42,0
93,9.53583331106375,248,2,0.03797485365477547,0.6170408370886693,0.9712336599232763,7,0.1518349498742127,0.007926600561394657,1.4499765235337403,-1,42,0
94,9.460167235778258,322,2,0.016866227473874056,0.6398515921254905,0.885214776320063,8,2.045327048167441,0.004478436330202012,1.376836476440463,-1,42,0
95,9.779942560556773,126,2,0.02119743535963617,0.6944366010451151,0.9515072427541629,10,1.029689492570341,0.022589737707932676,1.5862884417153127,-1,42,0
96,9.550321040935343,346,2,0.015179962698909576,0.5886552108299804,0.7956783456545021,11,0.3117814327313509,0.0028495458214648755,1.7064858298222427,-1,42,0
97,9.466690790399774,175,3,0.0266613408555343,0.5633819060412383,0.9369748668038707,9,0.7107418855766844,0.00196297811377855,1.5120235900261516,-1,42,0
98,9.352070699537121,208,2,0.03410454553888458,0.6592886316997338,0.844402016161718,6,0.1934847660833423,0.009129544913782896,1.6490605468811896,-1,42,0
99,9.366624390748168,428,2,0.03383207457004277,0.7238604024304104,0.8412220248757231,6,3.9067169839374065,0.009446703685165626,1.7551519806201716,-1,42,0
